Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,labels
-73.5375,-74.08500000000001,-70.045,-74.80333333333333,-73.74249999999999,-72.33,-73.785,2
-55.825,-56.2975,-60.9725,-57.919999999999995,-57.845,-58.3375,-57.835,0
-57.035,-60.1125,-63.7375,-58.79,-60.415,-62.660000000000004,-61.825,0
-59.95,-59.2775,-60.3325,-60.93333333333334,-59.075,-59.2375,-59.105000000000004,0
-60.592499999999994,-59.9775,-61.3075,-62.17666666666667,-60.87,-61.6725,-61.765,0
-55.927499999999995,-58.7775,-61.625,-57.95333333333334,-59.9575,-61.1725,-59.785,0
-52.555,-55.18000000000001,-61.2975,-53.56666666666666,-58.025,-59.292500000000004,-58.114999999999995,0
-56.337500000000006,-59.9675,-62.897499999999994,-55.96,-60.6225,-62.8725,-62.47,0
-54.975,-55.065,-67.06,-60.14666666666667,-62.040000000000006,-61.55,-62.635,0
-66.9375,-67.44250000000001,-69.9025,-69.33,-69.0125,-68.52000000000001,-68.72,5
-57.3325,-57.3525,-59.655,-60.17333333333334,-58.8675,-59.2375,-59.394999999999996,0
-64.3925,-64.6625,-66.2175,-66.59333333333332,-65.6875,-64.7175,-64.995,3
-60.085,-60.095,-62.475,-62.85,-61.535,-62.1725,-62.230000000000004,0
-60.83,-57.6125,-57.94,-65.52333333333333,-56.15,-55.9525,-55.405,6
-70.94749999999999,-69.4725,-62.519999999999996,-75.62333333333333,-68.49000000000001,-64.435,-66.825,1
-60.7875,-61.722500000000004,-61.457499999999996,-62.61666666666667,-62.737500000000004,-60.555,-61.545,0
-57.9675,-59.607499999999995,-61.5125,-52.27,-62.262499999999996,-61.5725,-61.41,0
-63.025,-67.055,-70.32,-62.663333333333334,-67.9375,-70.005,-69.685,5
-76.29499999999999,-75.3525,-68.85,-79.59,-74.14750000000001,-69.4325,-71.49000000000001,2
-57.5825,-57.53,-60.212500000000006,-59.36333333333334,-58.957499999999996,-60.275,-60.04,0
-58.6975,-59.5425,-60.545,-60.74666666666667,-61.395,-60.24249999999999,-60.959999999999994,0
-63.197500000000005,-64.8375,-60.28,-62.02333333333333,-63.7775,-61.2125,-62.254999999999995,0
-62.1475,-61.98,-63.8325,-64.80666666666666,-63.21,-63.434999999999995,-63.72,0
-63.3925,-60.9375,-57.4075,-67.04,-58.995,-56.415,-57.15,6
-55.78750000000001,-55.63999999999999,-56.89,-57.38666666666666,-56.8025,-57.07000000000001,-57.51,4
